"loudness","energy"
"-11.734","0.523"
"-5.963","0.748"
"-9.541","0.434"
"-5.154","0.907"
"-8.82","0.817"
"-4.81","0.777"
"-9.304","0.488"
"-3.255","0.893"
"-6.478","0.526"
"-10.63","0.594"
"-12.494","0.197"
"-5.7","0.598"
"-13.255","0.549"
"-8.433","0.463"
"-3.442","0.676"
"-10.34","0.277"
"-11.056","0.41"
"-5.221","0.61"
"-7.882","0.437"
"-8.899","0.64"
"-9.168","0.723"
"-2.666","0.922"
"-3.257","0.935"
"-6.478","0.631"
"-6.098","0.97"
"-3.96","0.734"
"-8.458","0.857"
"-2.81","0.807"
"-6.797","0.743"
"-7.314","0.51"
"-9.715","0.643"
"-3.905","0.835"
"-5.702","0.716"
"-3.014","0.746"
"-7.169","0.555"
"-7.357","0.413"
"-4.959","0.598"
"-7.091","0.581"
"-13.905","0.438"
"-13.899","0.0674"
"-5.701","0.798"
"-5.393","0.755"
"-9.14","0.398"
"-9.985","0.47"
"-11.158","0.391"
"-10.777","0.492"
"-6.1","0.732"
"-5.643","0.685"
"-8.746","0.615"
"-7.197","0.453"
"-6.831","0.608"
"-8.305","0.597"
"-13.402","0.573"
"-7.625","0.586"
"-15.98","0.251"
"-6.078","0.446"
"-3.469","0.858"
"-6.92","0.659"
"-5.931","0.682"
"-5.609","0.625"
"-6.113","0.689"
"-13.087","0.471"
"-6.812","0.426"
"-8.619","0.412"
"-7.684","0.62"
"-6.504","0.644"
"-4.753","0.745"
"-7.79","0.644"
"-10.293","0.453"
"-7.819","0.538"
"-8.594","0.637"
"-4.506","0.884"
"-11.591","0.34"
"-10.08","0.5"
"-8.337","0.366"
"-6.112","0.601"
"-10.3","0.431"
"-8.691","0.437"
"-8.256","0.538"
"-11.995","0.375"
"-8.275","0.291"
"-8.37","0.655"
"-6.036","0.832"
"-4.391","0.708"
"-9.298","0.44"
"-5.603","0.522"
"-8.797","0.571"
"-9.869","0.453"
"-6.293","0.669"
"-11.505","0.521"
"-6.916","0.517"
"-10.901","0.405"
"-3.545","0.718"
"-11.81","0.514"
"-6.564","0.302"
"-5.806","0.515"
"-6.032","0.629"
"-6.295","0.564"
"-8.152","0.67"
"-8.091","0.314"
"-6.509","0.893"
"-8.42","0.475"
"-9.32","0.617"
"-6.9","0.616"
"-8.735","0.478"
"-4.541","0.739"
"-7.992","0.313"
"-15.026","0.198"
"-10.895","0.539"
"-2.176","0.922"
"-5.73","0.787"
"-9.057","0.546"
"-6.647","0.601"
"-6.928","0.567"
"-12.676","0.335"
"-6.436","0.518"
"-4.834","0.566"
"-8.465","0.521"
"-12.428","0.36"
"-11.314","0.239"
"-6.366","0.595"
"-8.126","0.444"
"-8.214","0.579"
"-6.664","0.512"
"-9.515","0.448"
"-8.631","0.528"
"-3.391","0.863"
"-5.909","0.554"
"-9.247","0.351"
"-8.383","0.424"
"-8.326","0.491"
"-9.931","0.353"
"-7.652","0.682"
"-3.791","0.771"
"-5.042","0.599"
"-3.159","0.863"
"-8.937","0.433"
"-8.307","0.453"
"-6.901","0.625"
"-5.239","0.662"
"-6.903","0.427"
"-6.223","0.605"
"-3.212","0.757"
"-5.225","0.527"
"-3.693","0.694"
"-5.664","0.534"
"-4.08","0.692"
"-8.795","0.745"
"-4.944","0.435"
"-6.136","0.52"
"-4.98","0.547"
"-8.253","0.488"
"-6.606","0.586"
"-11.785","0.367"
"-7.307","0.536"
"-1.887","0.762"
"-4.818","0.56"
"-8.493","0.548"
"-6.371","0.516"
"-6.081","0.457"
"-7.286","0.521"
"-12.204","0.472"
"-3.558","0.722"
"-6.615","0.752"
"-7.683","0.609"
"-8.871","0.518"
"-11.211","0.387"
"-5.189","0.841"
"-5.36","0.803"
"-5.077","0.733"
"-4.963","0.785"
"-11.477","0.195"
"-5.356","0.645"
"-9.789","0.464"
"-6.059","0.361"
"-7.463","0.584"
"-7.782","0.539"
"-6.958","0.61"
"-14.682","0.43"
"-9.335","0.591"
"-11.064","0.403"
"-7.849","0.74"
"-10.079","0.562"
"-7.117","0.696"
"-8.52","0.481"
"-14.427","0.265"
"-9.232","0.683"
"-7.355","0.531"
"-4.87","0.575"
"-3.793","0.546"
"-17.54","0.252"
"-6.227","0.692"
"-8.433","0.649"
"-4.191","0.793"
"-6.723","0.462"
"-6.142","0.658"
"-9.897","0.46"
"-3.473","0.681"
"-7.509","0.454"
"-5.14","0.876"
"-3.089","0.681"
"-7.47","0.458"
"-6.482","0.662"
"-8.809","0.568"
"-3.547","0.78"
"-7.51","0.595"
"-7.369","0.582"
"-9.395","0.427"
"-6.027","0.499"
"-4.464","0.613"
"-5.786","0.477"
"-10.023","0.596"
"-4.178","0.623"
"-5.784","0.538"
"-5.065","0.647"
"-5.598","0.641"
"-5.802","0.56"
"-6.917","0.631"
"-7.709","0.346"
"-6.246","0.532"
"-5.716","0.59"
"-5.455","0.735"
"-6.535","0.649"
"-3.836","0.955"
"-6.335","0.602"
"-6.322","0.763"
"-11.599","0.408"
"-9","0.908"
"-4.521","0.793"
"-5.467","0.563"
"-10.234","0.617"
"-7.994","0.439"
"-6.13","0.642"
"-11.821","0.485"
"-15.698","0.172"
"-9.628","0.443"
"-3.996","0.845"
"-11.848","0.472"
"-7.2","0.484"
"-4.311","0.794"
"-6.266","0.509"
"-5.109","0.736"
"-5.998","0.631"
"-10.479","0.417"
"-15.545","0.235"
"-8.264","0.453"
"-6.107","0.568"
"-6.671","0.604"
"-6.181","0.535"
"-9.481","0.432"
"-10.061","0.269"
"-3.799","0.596"
"-7.648","0.537"
"-9.966","0.431"
"-14.578","0.552"
"-8.933","0.678"
"-5.614","0.679"
"-4.699","0.791"
"-6.671","0.604"
"-4.002","0.693"
"-6.687","0.479"
"-3.995","0.789"
"-5.688","0.688"
"-9.218","0.681"
"-7.143","0.445"
"-7.955","0.524"
"-3.15","0.931"
"-8.846","0.612"
"-5.368","0.598"
"-8.677","0.342"
"-3.352","0.722"
"-6.254","0.753"
"-9.727","0.327"
"-4.735","0.755"
"-4.72","0.596"
"-13.833","0.277"
"-6.062","0.443"
"-12.434","0.324"
"-8.045","0.692"
"-8.764","0.427"
"-5.002","0.633"
"-6.964","0.563"
"-7.002","0.592"
"-9.215","0.533"
"-8.756","0.43"
"-11.811","0.614"
"-13.89","0.384"
"-7.929","0.68"
"-13.114","0.376"
"-6.483","0.746"
"-6.441","0.657"
"-10.254","0.441"
"-4.117","0.797"
"-9.935","0.642"
"-8.385","0.479"
"-4.261","0.825"
"-8.276","0.57"
"-11.208","0.517"
"-9.443","0.412"
"-7.261","0.474"
"-7.243","0.721"
"-6.43","0.629"
"-9.616","0.657"
"-8.628","0.561"
"-7.601","0.501"
"-9.096","0.513"
"-8.088","0.534"
"-5.259","0.764"
"-10.096","0.599"
"-5.71","0.549"
"-7.407","0.553"
"-7.405","0.444"
"-9.299","0.565"
"-6.672","0.63"
"-6.934","0.712"
"-5.33","0.58"
"-8.758","0.676"
"-8.833","0.519"
"-9.437","0.515"
"-7.116","0.671"
"-10.664","0.541"
"-6.371","0.58"
"-5.49","0.614"
"-6.326","0.783"
"-6.85","0.726"
"-10.365","0.543"
"-11.737","0.411"
"-9.368","0.665"
"-10.063","0.525"
"-6.123","0.643"
"-5.694","0.763"
"-8.424","0.608"
"-12.078","0.527"
"-10.36","0.649"
"-11.465","0.39"
"-7.381","0.569"
"-8.56","0.692"
"-9.458","0.732"
"-7.498","0.614"
"-4.128","0.754"
"-8.056","0.5"
"-7.933","0.501"
"-5.912","0.545"
"-5.781","0.742"
"-5.875","0.686"
"-5.466","0.814"
"-7.207","0.596"
"-6.008","0.529"
"-8.424","0.607"
"-10.146","0.545"
"-16.798","0.34"
"-7.907","0.382"
"-6.291","0.757"
"-4.944","0.65"
"-6.499","0.792"
"-8.342","0.608"
"-3.153","0.78"
"-5.998","0.698"
"-7.789","0.591"
"-8.332","0.604"
"-9.41","0.584"
"-7.604","0.49"
"-7.641","0.532"
"-2.986","0.892"
"-6.296","0.63"
"-3.249","0.811"
"-5.455","0.542"
"-9.422","0.55"
"-7.708","0.405"
"-8.112","0.579"
"-7.679","0.606"
"-7.706","0.68"
"-5.667","0.653"
"-8.233","0.54"
"-13.057","0.442"
"-5.666","0.586"
"-11.085","0.644"
"-6.032","0.573"
"-8.317","0.59"
"-8.117","0.642"
"-6.348","0.731"
"-4.209","0.816"
"-8.556","0.48"
"-6.707","0.516"
"-14.354","0.364"
"-11.479","0.381"
"-10.664","0.454"
"-4.501","0.667"
"-6.496","0.897"
"-10.04","0.404"
"-13.046","0.315"
"-6.102","0.697"
"-10.062","0.616"
"-4.275","0.801"
"-8.311","0.506"
"-11.7","0.517"
"-8.051","0.244"
"-7.639","0.501"
"-4.864","0.814"
"-7.654","0.611"
"-8.381","0.634"
"-9.292","0.381"
"-5.312","0.854"
"-8.073","0.762"
"-4.493","0.883"
"-6.617","0.678"
"-6.189","0.574"
"-6.152","0.644"
"-9.066","0.528"
"-4.772","0.743"
"-6.279","0.546"
"-9.201","0.583"
"-11.548","0.392"
"-4.412","0.696"
"-8.594","0.669"
"-6.136","0.605"
"-7.956","0.69"
"-6.152","0.65"
"-7.099","0.562"
"-8.166","0.524"
"-8.916","0.533"
"-9.554","0.481"
"-5.323","0.481"
"-6.601","0.607"
"-5.324","0.718"
"-7.324","0.637"
"-10.906","0.458"
"-6.609","0.635"
"-5.007","0.733"
"-8.159","0.493"
"-6.089","0.692"
"-5.783","0.615"
"-9.935","0.536"
"-1.102","0.82"
"-8.979","0.606"
"-4.689","0.631"
"-7.559","0.449"
"-7.797","0.37"
"-9.673","0.441"
"-12.723","0.412"
"-5.047","0.584"
"-6.154","0.554"
"-5.008","0.705"
"-8.399","0.595"
"-10.859","0.419"
"-8.074","0.412"
"-6.385","0.576"
"-10.139","0.441"
"-3.127","0.731"
"-7.297","0.657"
"-6.189","0.531"
"-9.02","0.519"
"-6.976","0.654"
"-8.612","0.522"
"-5.717","0.631"
"-9.75","0.454"
"-11.938","0.347"
"-8.89","0.614"
"-4.94","0.658"
"-7.451","0.45"
"-9.775","0.484"
"-12.076","0.489"
"-3.936","0.8"
"-4.958","0.652"
"-6.502","0.722"
"-3.522","0.896"
"-8.995","0.579"
"-3.664","0.935"
"-6.599","0.596"
"-7.484","0.632"
"-10.408","0.409"
"-8.062","0.466"
"-8.409","0.621"
"-5.514","0.813"
"-14.211","0.33"
"-9.07","0.547"
"-7.673","0.647"
"-7.581","0.578"
"-9.227","0.588"
"-6.698","0.595"
"-5.604","0.552"
"-12.532","0.396"
"-9.87","0.544"
"-12.599","0.494"
"-4.515","0.668"
"-4.075","0.796"
"-8.936","0.522"
"-8.481","0.62"
"-9.828","0.332"
"-7.8","0.555"
"-6.714","0.622"
"-7.314","0.621"
"-7.515","0.457"
"-10.599","0.355"
"-5.853","0.739"
"-3.512","0.748"
"-8.765","0.431"
"-8.876","0.526"
"-9.312","0.667"
"-2.15","0.826"
"-8.709","0.592"
"-6.875","0.512"
"-6.108","0.669"
"-10.049","0.656"
"-9.956","0.466"
"-6.89","0.516"
"-7.909","0.554"
"-8.601","0.556"
"-5.609","0.741"
"-5.073","0.656"
"-6.523","0.622"
"-5.484","0.724"
"-5.551","0.528"
"-8.559","0.394"
"-5.832","0.547"
"-8.053","0.553"
"-10.098","0.443"
"-6.687","0.586"
"-3.904","0.772"
"-7.599","0.527"
"-5.964","0.602"
"-3.434","0.729"
"-8.784","0.485"
"-4.593","0.955"
"-1.934","0.811"
"-8.052","0.658"
"-5.631","0.696"
"-5.616","0.601"
"-6.622","0.461"
"-4.729","0.615"
"-11.754","0.428"
"-5.432","0.637"
"-7.133","0.732"
"-3.39","0.728"
"-13.879","0.298"
"-11.288","0.412"
"-7.567","0.774"
"-4.993","0.541"
"-5.568","0.629"
"-9.099","0.49"
"-5.716","0.657"
"-4.841","0.717"
"-4.146","0.884"
"-11.373","0.396"
"-8.74","0.561"
"-14.24","0.408"
"-6.047","0.765"
"-7.814","0.599"
"-8.809","0.518"
"-8.277","0.635"
"-2.607","0.652"
"-6.294","0.811"
"-2.317","0.518"
"-7.109","0.559"
"-8.212","0.538"
"-6.024","0.491"
"-5.857","0.516"
"-6.366","0.569"
"-3.909","0.787"
"-9.281","0.615"
"-5.788","0.603"
"-8.84","0.655"
"-5.932","0.499"
"-6.136","0.654"
"-14.151","0.341"
"-13.29","0.523"
"-4.121","0.923"
"-9.073","0.447"
"-5.376","0.805"
"-7.625","0.601"
"-8.145","0.533"
"-11.667","0.642"
"-8.458","0.458"
"-6.702","0.721"
"-12.342","0.415"
"-13.968","0.268"
"-5.61","0.7"
"-2.744","0.823"
"-12.461","0.452"
"-7.916","0.688"
"-5.004","0.729"
"-8.137","0.572"
"-5.052","0.661"
"-8.153","0.655"
"-7.959","0.824"
"-9.874","0.944"
"-4.683","0.692"
"-6.682","0.508"
"-17.646","0.211"
"-6.24","0.703"
"-8.127","0.607"
"-11.377","0.463"
"-7.482","0.617"
"-7.236","0.61"
"-9.229","0.537"
"-7.144","0.895"
"-5.019","0.371"
"-8.532","0.537"
"-5.616","0.859"
"-7.226","0.475"
"-6.317","0.799"
"-4.311","0.605"
"-6.223","0.605"
"-6.404","0.845"
"-5.44","0.863"
"-4.814","0.867"
"-3.076","0.941"
"-8.675","0.658"
"-6.499","0.801"
"-0.122","0.966"
"-9.6","0.677"
"-1.348","0.934"
"-7.482","0.749"
"-12.568","0.458"
"-7.086","0.977"
"-9.185","0.613"
"-7.777","0.737"
"-4.574","0.936"
"-7.672","0.593"
"-12.376","0.352"
"-4.161","0.657"
"-11.281","0.412"
"-9.425","0.496"
"-4.595","0.935"
"-4.749","0.703"
"-5.942","0.566"
"-8.339","0.597"
"-10.762","0.529"
"-4.889","0.97"
"-9.078","0.478"
"-1.602","0.795"
"-3.258","0.992"
"-6.828","0.49"
"-7.289","0.824"
"-16.453","0.534"
"-8.824","0.824"
"-10.771","0.527"
"-12.106","0.388"
"-12.735","0.315"
"-7.441","0.483"
"-9.563","0.587"
"-6.546","0.826"
"-9.17","0.529"
"-4.967","0.742"
"-2.754","0.877"
"-8.734","0.342"
"-6.44","0.924"
"-7.452","0.656"
"-3.852","0.733"
"-1.575","0.864"
"-8.981","0.504"
"-8.498","0.593"
"-4.063","0.812"
"-7.716","0.674"
"-10.573","0.514"
"-12.63","0.437"
"-8.727","0.569"
"-8.518","0.433"
"-4.143","0.824"
"-8.748","0.891"
"-1.879","0.925"
"-7.689","0.486"
"-4.738","0.873"
"-8.433","0.479"
"-11.46","0.411"
"-8.452","0.447"
"-8.658","0.557"
"-4.874","0.545"
"-8.932","0.578"
"-4.41","0.765"
"-4.014","0.782"
"-6.415","0.9"
"-5.926","0.415"
"-13.626","0.22"
"-8.159","0.477"
"-8.214","0.59"
"-8.635","0.678"
"-11.437","0.225"
"-6.881","0.637"
"-10.786","0.394"
"-7.134","0.733"
"-5.733","0.473"
"-4.713","0.638"
"-3.046","0.624"
"-6.083","0.649"
"-5.557","0.468"
"-10.301","0.516"
"-7.787","0.547"
"-7.509","0.496"
"-5.158","0.42"
"-6.581","0.53"
"-5.655","0.465"
"-4.933","0.573"
"-5.638","0.768"
"-8.562","0.597"
"-7.317","0.519"
"-9.373","0.552"
"-8.866","0.498"
"-5.989","0.451"
"-6.424","0.671"
"-6.756","0.454"
"-9.78","0.433"
"-8.04","0.509"
"-7.468","0.538"
"-4.667","0.698"
"-9.191","0.441"
"-7.771","0.678"
"-6.558","0.899"
"-10.938","0.399"
"-10.658","0.266"
"-11.013","0.55"
"-7.702","0.567"
"-5.698","0.688"
"-7.908","0.592"
"-6.585","0.43"
"-5.339","0.479"
"-5.691","0.61"
"-8.673","0.399"
"-10.789","0.396"
"-9.682","0.369"
"-6.678","0.545"
"-4.653","0.839"
"-4.577","0.673"
"-4.753","0.761"
"-7.694","0.447"
"-5.961","0.59"
"-8.442","0.499"
"-11.926","0.374"
"-9.477","0.701"
"-4.696","0.714"
"-10.996","0.402"
"-17.28","0.236"
"-3.675","0.771"
"-5.831","0.609"
"-10.773","0.25"
"-5.599","0.485"
"-15.592","0.429"
"-7.269","0.436"
"-9.462","0.623"
"-12.667","0.439"
"-5.015","0.539"
"-4.992","0.69"
"-6.805","0.538"
"-7.918","0.619"
"-6.59","0.468"
"-4.763","0.659"
"-6.609","0.635"
"-11.714","0.516"
"-7.594","0.578"
"-4.807","0.82"
"-8.601","0.556"
"-7.369","0.669"
"-6.724","0.538"
"-7.838","0.482"
"-4.676","0.68"
"-6.459","0.776"
"-4.365","0.665"
"-15.774","0.296"
"-11.808","0.371"
"-12.053","0.374"
"-4.653","0.567"
"-3.218","0.695"
"-8.186","0.588"
"-4.526","0.795"
"-9.463","0.488"
"-8.52","0.478"
"-4.012","0.834"
"-6.272","0.659"
"-4.64","0.641"
"-5.077","0.729"
"-8.36","0.575"
"-5.366","0.708"
"-4.761","0.796"
"-2.978","0.632"
"-4.892","0.603"
"-14.386","0.451"
"-6.963","0.616"
"-8.415","0.626"
"-4.74","0.747"
"-10.58","0.445"
"-7.957","0.691"
"-9.383","0.454"
"-7.627","0.797"
"-6.503","0.58"
"-5.122","0.674"
"-4.628","0.842"
"-6.635","0.563"
"-5.158","0.671"
"-5.171","0.744"
"-5.268","0.749"
"-7.844","0.511"
"-6.153","0.66"
"-6.075","0.662"
"-9.638","0.477"
"-7.227","0.661"
"-8.808","0.591"
"-5.726","0.485"
"-6.63","0.791"
"-8.783","0.599"
"-8.768","0.403"
"-6.509","0.627"
"-6.901","0.625"
"-6.628","0.608"
"-13.763","0.267"
"-8.897","0.659"
"-2.872","0.884"
"-6.508","0.59"
"-8.28","0.428"
"-6.697","0.526"
"-8.322","0.505"
"-6.361","0.609"
"-7.813","0.534"
"-12.696","0.227"
"-5.059","0.609"
"-11.789","0.412"
"-4.141","0.582"
"-2.708","0.652"
"-10.147","0.498"
"-11.797","0.463"
"-4.591","0.631"
"-7.16","0.579"
"-6.251","0.542"
"-3.407","0.751"
"-10.293","0.713"
"-6.335","0.577"
"-5.868","0.536"
"-5.733","0.716"
"-3.191","0.544"
"-4.355","0.76"
"-3.765","0.76"
"-8.57","0.448"
"-4.396","0.837"
"-7.548","0.529"
"-6.819","0.904"
"-7.136","0.592"
"-9.389","0.373"
"-6.163","0.708"
"-4.759","0.802"
"-11.001","0.673"
"-16.554","0.522"
"-4.8","0.898"
"-7.313","0.621"
"-7.773","0.34"
"-6.774","0.501"
"-14.5","0.505"
"-4.011","0.871"
"-3.542","0.788"
"-4.12","0.807"
"-8.412","0.313"
"-4.719","0.779"
"-3.454","0.727"
"-7.246","0.634"
"-4.616","0.856"
"-3.539","0.65"
"-5.349","0.712"
"-4.366","0.712"
"-7.997","0.5"
"-5.299","0.833"
"-3.539","0.779"
"-8.8","0.394"
"-8.697","0.535"
"-8.006","0.611"
"-7.38","0.539"
"-6.914","0.727"
"-6.912","0.795"
"-8.741","0.529"
"-11.11","0.462"
"-4.448","0.862"
"-6.996","0.57"
"-6.437","0.724"
"-7.72","0.766"
"-8.137","0.547"
"-5.892","0.824"
"-5.019","0.698"
"-8.131","0.676"
"-6.174","0.736"
"-6.128","0.677"
"-6.825","0.541"
"-6.401","0.593"
"-5.559","0.824"
"-6.666","0.594"
"-4.696","0.638"
"-5.457","0.721"
"-7.749","0.467"
"-16.539","0.419"
"-6.115","0.556"
"-8.624","0.406"
"-6.363","0.696"
"-8.302","0.535"
"-6.878","0.385"
"-3.128","0.848"
"-6.095","0.6"
"-7.5","0.467"
"-8.719","0.568"
"-24.6","0.0443"
"-7.174","0.579"
"-6.531","0.519"
"-9.731","0.403"
"-6.804","0.759"
"-7.6","0.648"
"-6.865","0.695"
"-10.059","0.573"
"-16.926","0.279"
"-5.303","0.908"
"-6.788","0.576"
"-8.659","0.526"
"-6.4","0.588"
"-7.537","0.392"
"-7.503","0.481"
"-5.605","0.536"
"-9.474","0.425"
"-9.041","0.687"
"-6.612","0.514"
"-8.756","0.431"
"-10.001","0.658"
"-4.02","0.684"
"-15.473","0.357"
"-7.661","0.832"
"-8.109","0.575"
"-8.552","0.543"
"-2.99","0.729"
"-5.732","0.503"
"-5.857","0.516"
"-7.586","0.527"
"-7.008","0.73"
"-10.203","0.367"
"-4.628","0.768"
"-5.974","0.681"
"-6.035","0.423"
"-9.309","0.346"
"-9.883","0.326"
"-2.253","0.892"
"-5.288","0.793"
"-4.469","0.521"
"-10.181","0.447"
"-4.853","0.718"
"-6.032","0.681"
"-5.612","0.664"
"-7.298","0.656"
"-9.232","0.683"
"-13.169","0.339"
"-5.963","0.63"
"-10.234","0.617"
"-2.183","0.612"
"-8.914","0.415"
"-4.123","0.823"
"-4.209","0.816"
"-4.716","0.774"
"-6.973","0.513"
"-8.932","0.578"
"-6.143","0.663"
"-6.456","0.56"
"-8.696","0.412"
"-4.219","0.833"
"-9.386","0.59"
"-7.636","0.393"
"-5.157","0.359"
"-3.115","0.783"
"-3.014","0.746"
"-12.691","0.403"
"-2.821","0.665"
"-6.846","0.497"
"-9.997","0.539"
"-5.133","0.642"
"-2.842","0.86"
"-5.986","0.825"
"-11.034","0.41"
"-14.54","0.46"
"-6.562","0.573"
"-6.478","0.631"
"-3.428","0.912"
"-7.737","0.676"
"-9.2","0.335"
"-6.092","0.47"
"-8.532","0.537"
"-6.924","0.511"
"-12.734","0.719"
"-10.644","0.317"
"-7.713","0.449"
"-8.238","0.507"
"-4.771","0.802"
"-11.196","0.219"
"-9.744","0.492"
"-10.059","0.573"
"-7.071","0.239"
"-6.233","0.516"
"-7.425","0.647"
"-7.251","0.433"
"-6.635","0.581"
"-8.115","0.592"
"-5.989","0.65"
"-3.517","0.885"
"-7.661","0.619"
"-3.633","0.487"
"-3.319","0.863"
"-6.655","0.844"
"-5.122","0.771"
"-2.646","0.889"
"-4.449","0.769"
"-3.468","0.908"
"-2.486","0.973"
"-6.985","0.69"
"-4.902","0.815"
"-10.121","0.398"
"-4.481","0.676"
"-7.533","0.62"
"-5.018","0.573"
"-2.163","0.842"
"-5.387","0.378"
"-5.827","0.418"
"-13.177","0.108"
"-10.086","0.447"
"-9.986","0.5"
"-4.566","0.674"
"-5.135","0.576"
"-4.825","0.736"
"-8.624","0.756"
"-5.876","0.487"
"-4.956","0.671"
"-5.726","0.705"
"-7.239","0.591"
"-5.496","0.251"
"-5.231","0.516"
"-6.663","0.577"
"-6.909","0.337"
"-8.819","0.308"
"-8.219","0.542"
"-6.891","0.541"
"-7.26","0.336"
"-8.757","0.394"
"-8.092","0.524"
"-8.694","0.524"
"-10.084","0.459"
"-5.213","0.607"
"-4.074","0.675"
"-7.463","0.677"
"-11.023","0.525"
"-4.552","0.729"
"-4.645","0.532"
"-8.916","0.582"
"-4.171","0.841"
"-0.666","0.893"
"-7.196","0.493"
"-8.501","0.388"
"-6.823","0.76"
"-7.805","0.558"
"-10.333","0.355"
"-7.572","0.591"
"-4.595","0.726"
"-5.975","0.599"
"-5.798","0.511"
"-5.433","0.647"
"-5.455","0.482"
"-7.138","0.68"
"-7.522","0.576"
"-8.297","0.404"
"-5.22","0.516"
"-4.134","0.794"
"-3.884","0.647"
"-3.786","0.566"
"-7.225","0.661"
"-4.092","0.651"
"-5.386","0.636"
"-4.844","0.561"
"-4.556","0.853"
"-6.767","0.869"
"-4.451","0.736"
"-5.913","0.42"
"-0.269","0.835"
"-4.23","0.587"
"-7.206","0.476"
"-5.108","0.574"
"-0.6","0.813"
"-9.891","0.341"
"-6.837","0.452"
"-5.208","0.745"
"-5.548","0.317"
"-6.955","0.566"
"-3.035","0.783"
"-3.664","0.653"
"-3.512","0.61"
"-7.558","0.513"
"-6.121","0.651"
"-7.451","0.703"
"-8.288","0.582"
"-4.694","0.553"
"-3.389","0.579"
"-6.248","0.46"
"-5.07","0.601"
"-6.256","0.519"
"-11.593","0.373"
"-9.49","0.506"
"-8.638","0.419"
"-5.587","0.778"
"-9.438","0.495"
"-7.536","0.586"
"-7.863","0.279"
"-5.22","0.59"
"-7.478","0.597"
"-8.558","0.484"
